Order_ID,Order_Date,Customer_Location,Customer_ID,Age,Occupation,Gender,Category_Name,Category_ID,Product_ID,Product_Name,Quantity_Sold,Material,Unit_Price ($),Total_Revenue ($),Eco_Certification,Manufacturing_Emission (kg CO2),Water_Usage (liters),Percentage_Recycled_Material (%),Carbon_Offset_Investment ($),Return_Status,Return_Reason,Customer_Feedback
ORD-005254,2025-02-22,"USA, Seattle",CUST-05254,39,Industrial buyer,Female,Shoes,CAT-05,SHO-9046,Shoes Classic,4,Bamboo,160,640,GOTS,8.55,1887,64,0.43,Not Returned,,Poor
ORD-005255,2025-02-05,"USA, Berkeley",CUST-05255,27,Electronics engineer,Male,Shirt,CAT-01,SHI-8947,Shirt Eco,4,Linen,55,220,OEKO-TEX,8.54,2086,82,0.43,Returned,Not as Expected,Excellent
ORD-005256,2023-06-17,"Sweden, Stockholm",CUST-05256,50,Paramedic,Female,Jacket,CAT-04,JA-1815,Jacket Classic,1,Linen,245,245,OEKO-TEX,11.97,1481,41,0.6,Not Returned,,Excellent
ORD-005257,2024-10-01,"USA, Santa Cruz",CUST-05257,28,Operational investment banker,Female,Shoes,CAT-05,SHO-1818,Shoes Classic,2,Recycled Polyester,135,270,B Corp,13.82,700,96,0.69,Not Returned,,Average
ORD-005258,2025-02-15,"Sweden, Stockholm",CUST-05258,55,Games developer,Male,Bag,CAT-06,BA-1787,Bag Classic,4,Bamboo,120,480,GOTS,13.64,1400,38,0.68,Not Returned,,Excellent
ORD-005259,2024-06-10,"New Zealand, Wellington",CUST-05259,33,Midwife,Male,Dress,CAT-03,DR-7191,Dress Eco,4,Hemp,155,620,B Corp,9.65,2419,73,0.48,Not Returned,,Excellent
ORD-005260,2024-11-21,"Netherlands, Amsterdam",CUST-05260,23,Careers information officer,Female,Shoes,CAT-05,SHO-9730,Shoes Style,5,Linen,155,775,B Corp,11.22,2216,30,0.56,Returned,Defective,Average
ORD-005261,2024-09-26,"New Zealand, Wellington",CUST-05261,31,Statistician,Female,Jacket,CAT-04,JA-6157,Jacket Style,5,Hemp,240,1200,None,14.31,811,80,0.72,Not Returned,,Excellent
ORD-005262,2024-09-30,"Norway, Bergen",CUST-05262,27,Learning disability nurse,Male,Jacket,CAT-04,JA-5966,Jacket Green,1,Recycled Polyester,190,190,None,6.08,1452,58,0.3,Returned,Not as Expected,Excellent
ORD-005263,2023-10-27,"USA, Boulder",CUST-05263,42,Pathologist,Male,Jacket,CAT-04,JA-6054,Jacket Eco,2,Organic Cotton,200,400,GOTS,9.73,2117,24,0.49,Not Returned,,Excellent
ORD-005264,2024-12-30,"USA, Burlington",CUST-05264,34,Health physicist,Female,Dress,CAT-03,DR-6245,Dress Eco,3,Organic Cotton,125,375,Fair Trade,10.82,1164,15,0.54,Not Returned,,Good
ORD-005265,2023-12-06,"USA, Berkeley",CUST-05265,26,Higher education lecturer,Female,Bag,CAT-06,BA-6050,Bag Eco,4,Hemp,120,480,B Corp,5.12,1327,32,0.26,Not Returned,,Good
ORD-005266,2023-10-22,"USA, Portland",CUST-05266,31,Energy manager,Other,Bag,CAT-06,BA-3791,Bag Eco,1,Linen,105,105,Fair Trade,14.39,1607,44,0.72,Not Returned,,Excellent
ORD-005267,2025-04-02,"USA, Burlington",CUST-05267,38,Commercial/residential surveyor,Female,Dress,CAT-03,DR-2146,Dress Style,1,Recycled Polyester,120,120,OEKO-TEX,12.79,790,71,0.64,Not Returned,,Excellent
ORD-005268,2024-10-30,"USA, Berkeley",CUST-05268,40,Information officer,Female,Pants,CAT-02,PA-4200,Pants Style,4,Hemp,100,400,OEKO-TEX,2.0,1353,55,0.1,Not Returned,,Excellent
ORD-005269,2024-10-14,"Germany, Berlin",CUST-05269,49,Health service manager,Male,Shirt,CAT-01,SHI-5589,Shirt Eco,1,Recycled Polyester,45,45,None,8.49,2852,34,0.42,Not Returned,,Good
ORD-005270,2023-09-20,"Germany, Freiburg",CUST-05270,22,Animal technologist,Female,Jacket,CAT-04,JA-8425,Jacket Eco,4,Organic Cotton,210,840,GOTS,6.56,2743,91,0.33,Not Returned,,Excellent
ORD-005271,2024-01-01,"USA, Boulder",CUST-05271,29,Academic librarian,Female,Shoes,CAT-05,SHO-9328,Shoes Green,2,Recycled Polyester,140,280,B Corp,8.42,2207,98,0.42,Not Returned,,Excellent
ORD-005272,2024-09-10,"New Zealand, Wellington",CUST-05272,35,Graphic designer,Male,Dress,CAT-03,DR-6732,Dress Classic,1,Linen,125,125,OEKO-TEX,3.97,2224,63,0.2,Not Returned,,Excellent
ORD-005273,2023-05-08,"Germany, Berlin",CUST-05273,26,"Scientist, audiological",Female,Shirt,CAT-01,SHI-2674,Shirt Classic,4,Hemp,55,220,None,4.04,2429,56,0.2,Returned,Not as Expected,Excellent
ORD-005274,2023-10-11,"Canada, Victoria",CUST-05274,50,Video editor,Male,Shirt,CAT-01,SHI-2806,Shirt Green,1,Bamboo,50,50,Fair Trade,14.58,2532,69,0.73,Returned,Not as Expected,Excellent
ORD-005275,2024-10-19,"USA, Boulder",CUST-05275,21,Art therapist,Female,Pants,CAT-02,PA-4031,Pants Green,3,Bamboo,90,270,OEKO-TEX,9.96,2451,26,0.5,Not Returned,,Good
ORD-005276,2023-05-10,"Sweden, Stockholm",CUST-05276,51,Ergonomist,Male,Shirt,CAT-01,SHI-3387,Shirt Eco,5,Hemp,60,300,B Corp,9.6,1584,49,0.48,Not Returned,,Average
ORD-005277,2023-11-16,"USA, Burlington",CUST-05277,46,Air broker,Female,Jacket,CAT-04,JA-3229,Jacket Classic,5,Bamboo,230,1150,GOTS,9.67,1215,55,0.48,Not Returned,,Excellent
ORD-005278,2023-05-20,"New Zealand, Wellington",CUST-05278,40,Intelligence analyst,Male,Dress,CAT-03,DR-1041,Dress Green,5,Linen,130,650,B Corp,12.1,1533,21,0.6,Not Returned,,Good
ORD-005279,2024-06-10,"Norway, Bergen",CUST-05279,30,Chartered accountant,Female,Pants,CAT-02,PA-9572,Pants Classic,4,Linen,85,340,GOTS,10.96,1797,88,0.55,Not Returned,,Average
ORD-005280,2023-08-31,"Netherlands, Amsterdam",CUST-05280,21,Secretary/administrator,Other,Shirt,CAT-01,SHI-9672,Shirt Style,2,Linen,50,100,GOTS,7.33,1491,14,0.37,Not Returned,,Average
ORD-005281,2025-02-28,"Germany, Berlin",CUST-05281,34,Armed forces training and education officer,Male,Jacket,CAT-04,JA-4195,Jacket Style,3,Hemp,265,795,None,10.45,2942,43,0.52,Not Returned,,Average
ORD-005282,2023-08-29,"Australia, Melbourne",CUST-05282,36,Trading standards officer,Other,Bag,CAT-06,BA-4132,Bag Green,5,Organic Cotton,105,525,Fair Trade,10.09,1485,98,0.5,Not Returned,,Good
ORD-005283,2023-09-28,"USA, Seattle",CUST-05283,41,Risk analyst,Female,Shoes,CAT-05,SHO-2194,Shoes Green,4,Hemp,165,660,GOTS,4.93,1753,44,0.25,Not Returned,,Average
ORD-005284,2025-04-03,"USA, Burlington",CUST-05284,29,Recruitment consultant,Female,Dress,CAT-03,DR-4775,Dress Green,2,Organic Cotton,125,250,OEKO-TEX,4.76,2731,85,0.24,Not Returned,,Good
ORD-005285,2025-02-13,"USA, Berkeley",CUST-05285,28,"Psychotherapist, dance movement",Male,Pants,CAT-02,PA-4803,Pants Green,3,Linen,80,240,OEKO-TEX,3.77,2444,70,0.19,Not Returned,,Excellent
ORD-005286,2024-09-18,"Sweden, Stockholm",CUST-05286,53,Naval architect,Female,Bag,CAT-06,BA-7912,Bag Classic,1,Hemp,115,115,GOTS,12.11,656,12,0.61,Not Returned,,Excellent
ORD-005287,2023-11-13,"New Zealand, Wellington",CUST-05287,39,Tour manager,Female,Shirt,CAT-01,SHI-2314,Shirt Eco,4,Bamboo,50,200,OEKO-TEX,2.08,1007,96,0.1,Not Returned,,Average
ORD-005288,2024-04-13,"Canada, Victoria",CUST-05288,43,Careers information officer,Other,Dress,CAT-03,DR-8971,Dress Classic,5,Bamboo,120,600,GOTS,5.0,1274,57,0.25,Not Returned,,Good
ORD-005289,2024-03-04,"Canada, Vancouver",CUST-05289,20,Printmaker,Female,Pants,CAT-02,PA-5177,Pants Style,1,Hemp,100,100,GOTS,7.52,830,65,0.38,Not Returned,,Excellent
ORD-005290,2023-06-03,"USA, Santa Cruz",CUST-05290,28,Warden/ranger,Female,Shirt,CAT-01,SHI-5148,Shirt Green,1,Linen,50,50,B Corp,7.39,1472,65,0.37,Not Returned,,Excellent
ORD-005291,2024-12-10,"Norway, Oslo",CUST-05291,48,Fitness centre manager,Female,Jacket,CAT-04,JA-5649,Jacket Classic,2,Linen,225,450,GOTS,13.26,2625,29,0.66,Not Returned,,Good
ORD-005292,2024-11-28,"USA, Santa Cruz",CUST-05292,39,Arts development officer,Female,Dress,CAT-03,DR-1757,Dress Green,3,Organic Cotton,120,360,GOTS,9.69,718,86,0.48,Not Returned,,Excellent
ORD-005293,2024-03-01,"Canada, Victoria",CUST-05293,43,Waste management officer,Male,Shirt,CAT-01,SHI-3651,Shirt Green,1,Recycled Polyester,45,45,Fair Trade,10.99,1664,45,0.55,Not Returned,,Good
ORD-005294,2023-08-22,"USA, Seattle",CUST-05294,49,Curator,Male,Jacket,CAT-04,JA-3119,Jacket Green,1,Recycled Polyester,185,185,OEKO-TEX,9.96,1481,89,0.5,Not Returned,,Good
ORD-005295,2023-09-20,"Sweden, Stockholm",CUST-05295,34,Youth worker,Male,Pants,CAT-02,PA-5719,Pants Style,3,Recycled Polyester,70,210,OEKO-TEX,11.53,797,15,0.58,Not Returned,,Excellent
ORD-005296,2023-05-25,"USA, Burlington",CUST-05296,29,Retail merchandiser,Other,Shirt,CAT-01,SHI-9649,Shirt Green,5,Recycled Polyester,45,225,OEKO-TEX,8.34,692,50,0.42,Not Returned,,Excellent
ORD-005297,2023-12-01,"Sweden, Stockholm",CUST-05297,39,Location manager,Male,Jacket,CAT-04,JA-6676,Jacket Green,4,Organic Cotton,205,820,Fair Trade,13.26,847,38,0.66,Not Returned,,Excellent
ORD-005298,2025-02-25,"Sweden, Stockholm",CUST-05298,32,Armed forces logistics/support/administrative officer,Female,Bag,CAT-06,BA-5761,Bag Classic,3,Linen,115,345,Fair Trade,4.21,2605,89,0.21,Not Returned,,Good
ORD-005299,2025-01-08,"Germany, Berlin",CUST-05299,35,Technical author,Female,Dress,CAT-03,DR-6093,Dress Classic,2,Recycled Polyester,115,230,GOTS,4.01,1279,73,0.2,Not Returned,,Good
ORD-005300,2023-04-17,"Germany, Freiburg",CUST-05300,45,Physiological scientist,Male,Shoes,CAT-05,SHO-9855,Shoes Style,2,Organic Cotton,160,320,Fair Trade,7.56,2635,98,0.38,Not Returned,,Average
ORD-005301,2024-10-03,"Norway, Oslo",CUST-05301,24,"Engineer, mining",Male,Jacket,CAT-04,JA-5163,Jacket Classic,2,Linen,240,480,Fair Trade,7.23,2799,28,0.36,Not Returned,,Excellent
ORD-005302,2023-06-01,"USA, Berkeley",CUST-05302,25,Magazine features editor,Female,Bag,CAT-06,BA-7033,Bag Green,2,Recycled Polyester,95,190,B Corp,9.29,865,23,0.46,Not Returned,,Good
ORD-005303,2023-05-06,"Australia, Melbourne",CUST-05303,42,Artist,Other,Shirt,CAT-01,SHI-1444,Shirt Classic,2,Organic Cotton,50,100,OEKO-TEX,9.16,2727,17,0.46,Not Returned,,Excellent
ORD-005304,2023-04-22,"USA, Burlington",CUST-05304,30,Publishing copy,Female,Shoes,CAT-05,SHO-7940,Shoes Classic,1,Bamboo,160,160,Fair Trade,9.78,958,25,0.49,Not Returned,,Excellent
ORD-005305,2024-06-11,"Germany, Freiburg",CUST-05305,29,Materials engineer,Male,Jacket,CAT-04,JA-9112,Jacket Style,5,Recycled Polyester,175,875,GOTS,11.58,2445,88,0.58,Not Returned,,Good
ORD-005306,2023-04-24,"Netherlands, Amsterdam",CUST-05306,47,Chartered public finance accountant,Female,Shoes,CAT-05,SHO-8758,Shoes Classic,3,Bamboo,170,510,GOTS,3.01,2785,33,0.15,Not Returned,,Excellent
ORD-005307,2023-11-04,"New Zealand, Wellington",CUST-05307,44,"Conservator, museum/gallery",Female,Shoes,CAT-05,SHO-6077,Shoes Style,3,Organic Cotton,150,450,OEKO-TEX,9.93,1383,75,0.5,Not Returned,,Poor
ORD-005308,2024-04-10,"Norway, Oslo",CUST-05308,51,Information officer,Male,Shoes,CAT-05,SHO-3588,Shoes Style,2,Linen,160,320,OEKO-TEX,9.65,1222,51,0.48,Not Returned,,Excellent
ORD-005309,2024-07-07,"Norway, Bergen",CUST-05309,50,Television/film/video producer,Female,Pants,CAT-02,PA-9054,Pants Eco,1,Organic Cotton,85,85,OEKO-TEX,8.72,2011,25,0.44,Not Returned,,Good
ORD-005310,2023-05-25,"USA, Berkeley",CUST-05310,42,"Engineer, production",Female,Jacket,CAT-04,JA-8933,Jacket Green,1,Linen,210,210,GOTS,5.36,1602,91,0.27,Not Returned,,Excellent
ORD-005311,2023-12-07,"Germany, Berlin",CUST-05311,42,Warden/ranger,Male,Bag,CAT-06,BA-8165,Bag Classic,5,Recycled Polyester,100,500,B Corp,11.54,729,69,0.58,Not Returned,,Average
ORD-005312,2024-09-02,"USA, Berkeley",CUST-05312,51,Broadcast engineer,Male,Dress,CAT-03,DR-3366,Dress Classic,3,Organic Cotton,130,390,GOTS,12.81,2136,45,0.64,Returned,No Reason,Average
ORD-005313,2023-11-18,"Canada, Victoria",CUST-05313,50,Fitness centre manager,Male,Pants,CAT-02,PA-7350,Pants Classic,1,Organic Cotton,75,75,OEKO-TEX,4.91,940,88,0.25,Not Returned,,Good
ORD-005314,2023-05-06,"New Zealand, Wellington",CUST-05314,22,"Designer, graphic",Female,Jacket,CAT-04,JA-5500,Jacket Green,1,Bamboo,205,205,GOTS,7.63,2021,23,0.38,Not Returned,,Good
ORD-005315,2023-08-03,"Germany, Berlin",CUST-05315,45,Location manager,Female,Jacket,CAT-04,JA-9174,Jacket Green,4,Bamboo,235,940,None,5.68,1611,42,0.28,Not Returned,,Good
ORD-005316,2024-05-18,"Germany, Berlin",CUST-05316,30,Higher education careers adviser,Male,Pants,CAT-02,PA-8376,Pants Classic,2,Recycled Polyester,75,150,None,6.38,2463,92,0.32,Not Returned,,Excellent
ORD-005317,2024-06-10,"USA, San Francisco",CUST-05317,46,"Civil engineer, contracting",Female,Shoes,CAT-05,SHO-3191,Shoes Style,3,Hemp,195,585,Fair Trade,2.52,1107,97,0.13,Not Returned,,Average
ORD-005318,2024-11-30,"Sweden, Stockholm",CUST-05318,22,Ambulance person,Male,Shirt,CAT-01,SHI-6619,Shirt Classic,1,Organic Cotton,55,55,GOTS,3.07,2635,74,0.15,Not Returned,,Excellent
ORD-005319,2023-10-31,"USA, Burlington",CUST-05319,33,Geographical information systems officer,Female,Shirt,CAT-01,SHI-3939,Shirt Style,1,Hemp,55,55,None,13.09,1001,90,0.65,Not Returned,,Excellent
ORD-005320,2023-09-27,"USA, Portland",CUST-05320,51,"Civil engineer, consulting",Female,Jacket,CAT-04,JA-3953,Jacket Green,2,Organic Cotton,205,410,B Corp,4.25,1313,73,0.21,Not Returned,,Good
ORD-005321,2023-10-04,"USA, San Francisco",CUST-05321,27,Futures trader,Female,Pants,CAT-02,PA-4729,Pants Style,4,Organic Cotton,85,340,OEKO-TEX,4.17,551,92,0.21,Not Returned,,Good
ORD-005322,2024-02-28,"New Zealand, Wellington",CUST-05322,27,Chief Executive Officer,Female,Jacket,CAT-04,JA-2729,Jacket Classic,4,Hemp,220,880,GOTS,10.22,2568,21,0.51,Not Returned,,Excellent
ORD-005323,2024-12-05,"USA, Boulder",CUST-05323,43,Sales executive,Male,Pants,CAT-02,PA-6267,Pants Eco,3,Hemp,105,315,GOTS,5.62,1129,86,0.28,Not Returned,,Excellent
ORD-005324,2024-01-08,"USA, San Francisco",CUST-05324,31,"Scientist, research (medical)",Male,Dress,CAT-03,DR-6012,Dress Style,3,Recycled Polyester,105,315,None,12.69,2637,68,0.63,Not Returned,,Excellent
ORD-005325,2023-09-16,"Australia, Melbourne",CUST-05325,50,"Engineer, chemical",Female,Shirt,CAT-01,SHI-5515,Shirt Eco,5,Recycled Polyester,50,250,B Corp,5.89,1552,17,0.29,Returned,Wrong Size,Excellent
ORD-005326,2024-10-20,"Sweden, Stockholm",CUST-05326,53,Science writer,Female,Shoes,CAT-05,SHO-7650,Shoes Style,2,Bamboo,150,300,Fair Trade,2.97,738,49,0.15,Not Returned,,Good
ORD-005327,2023-10-04,"Germany, Berlin",CUST-05327,41,Interpreter,Female,Bag,CAT-06,BA-2049,Bag Green,3,Hemp,125,375,OEKO-TEX,6.71,1230,48,0.34,Not Returned,,Excellent
ORD-005328,2023-04-13,"Germany, Freiburg",CUST-05328,55,"Psychotherapist, child",Female,Jacket,CAT-04,JA-4337,Jacket Classic,1,Linen,220,220,Fair Trade,9.44,1384,62,0.47,Not Returned,,Excellent
ORD-005329,2023-05-22,"USA, Santa Cruz",CUST-05329,24,Print production planner,Other,Pants,CAT-02,PA-9332,Pants Eco,2,Recycled Polyester,70,140,B Corp,14.99,1297,92,0.75,Not Returned,,Excellent
ORD-005330,2024-12-15,"Canada, Vancouver",CUST-05330,28,"Scientist, marine",Male,Shirt,CAT-01,SHI-2245,Shirt Green,1,Recycled Polyester,50,50,Fair Trade,12.71,1750,50,0.64,Returned,Defective,Excellent
ORD-005331,2024-03-12,"USA, Seattle",CUST-05331,23,Press sub,Female,Dress,CAT-03,DR-4904,Dress Eco,3,Bamboo,130,390,Fair Trade,7.74,2658,86,0.39,Not Returned,,Excellent
ORD-005332,2024-12-07,"Norway, Oslo",CUST-05332,28,Air broker,Male,Shoes,CAT-05,SHO-4058,Shoes Green,5,Linen,170,850,GOTS,5.55,2931,20,0.28,Not Returned,,Average
ORD-005333,2023-11-14,"USA, Berkeley",CUST-05333,45,Clinical cytogeneticist,Female,Jacket,CAT-04,JA-1400,Jacket Eco,3,Organic Cotton,195,585,Fair Trade,11.83,2671,33,0.59,Not Returned,,Excellent
ORD-005334,2024-02-21,"Sweden, Stockholm",CUST-05334,25,"Surveyor, building",Male,Pants,CAT-02,PA-4766,Pants Green,3,Hemp,95,285,GOTS,4.16,2314,39,0.21,Not Returned,,Good
ORD-005335,2024-01-14,"New Zealand, Wellington",CUST-05335,33,Psychiatrist,Male,Shirt,CAT-01,SHI-8925,Shirt Eco,5,Organic Cotton,50,250,OEKO-TEX,13.04,2479,88,0.65,Not Returned,,Excellent
ORD-005336,2024-06-04,"USA, Santa Cruz",CUST-05336,31,"Administrator, sports",Other,Pants,CAT-02,PA-8633,Pants Classic,1,Linen,90,90,B Corp,6.56,2044,53,0.33,Not Returned,,Average
ORD-005337,2025-03-06,"USA, Burlington",CUST-05337,37,Arboriculturist,Female,Pants,CAT-02,PA-8746,Pants Style,5,Linen,90,450,B Corp,4.13,2866,31,0.21,Returned,Wrong Size,Average
ORD-005338,2023-12-20,"Australia, Melbourne",CUST-05338,43,Video editor,Female,Bag,CAT-06,BA-9527,Bag Classic,2,Linen,105,210,GOTS,13.83,2880,19,0.69,Not Returned,,Excellent
ORD-005339,2023-10-12,"USA, Santa Cruz",CUST-05339,33,Probation officer,Female,Dress,CAT-03,DR-9574,Dress Style,2,Recycled Polyester,100,200,OEKO-TEX,12.5,1627,70,0.62,Returned,Wrong Size,Excellent
ORD-005340,2024-09-23,"New Zealand, Wellington",CUST-05340,31,Passenger transport manager,Female,Shirt,CAT-01,SHI-4854,Shirt Eco,4,Linen,55,220,OEKO-TEX,14.42,2143,80,0.72,Not Returned,,Poor
ORD-005341,2024-01-23,"Norway, Oslo",CUST-05341,26,Accounting technician,Female,Shirt,CAT-01,SHI-7888,Shirt Style,5,Recycled Polyester,45,225,GOTS,8.07,979,18,0.4,Not Returned,,Excellent
ORD-005342,2023-08-12,"Canada, Victoria",CUST-05342,42,Facilities manager,Female,Bag,CAT-06,BA-5967,Bag Eco,4,Hemp,135,540,Fair Trade,6.64,658,37,0.33,Not Returned,,Excellent
ORD-005343,2023-08-16,"USA, Seattle",CUST-05343,30,"Scientist, research (physical sciences)",Male,Shoes,CAT-05,SHO-8025,Shoes Classic,3,Bamboo,165,495,OEKO-TEX,3.59,2039,98,0.18,Not Returned,,Good
ORD-005344,2025-04-06,"USA, Santa Cruz",CUST-05344,37,"Radiographer, therapeutic",Female,Pants,CAT-02,PA-5384,Pants Style,1,Recycled Polyester,80,80,OEKO-TEX,12.55,1935,26,0.63,Not Returned,,Average
ORD-005345,2024-12-19,"Netherlands, Amsterdam",CUST-05345,25,Associate Professor,Female,Bag,CAT-06,BA-2639,Bag Eco,5,Organic Cotton,100,500,Fair Trade,14.51,939,26,0.73,Returned,Other,Excellent
ORD-005346,2023-04-19,"USA, Berkeley",CUST-05346,25,Information officer,Male,Bag,CAT-06,BA-4204,Bag Green,2,Bamboo,110,220,OEKO-TEX,13.24,1997,27,0.66,Not Returned,,Average
ORD-005347,2024-08-09,"Norway, Bergen",CUST-05347,39,Statistician,Male,Pants,CAT-02,PA-9179,Pants Eco,1,Hemp,105,105,Fair Trade,4.41,1937,77,0.22,Not Returned,,Good
ORD-005348,2023-07-10,"USA, Berkeley",CUST-05348,51,Exhibition designer,Female,Dress,CAT-03,DR-8744,Dress Classic,5,Bamboo,135,675,GOTS,11.37,592,48,0.57,Not Returned,,Excellent
ORD-005349,2023-06-03,"USA, Burlington",CUST-05349,22,"Designer, blown glass/stained glass",Male,Shoes,CAT-05,SHO-3444,Shoes Classic,2,Linen,165,330,OEKO-TEX,4.79,2653,28,0.24,Not Returned,,Excellent
ORD-005350,2023-06-24,"USA, Portland",CUST-05350,41,Armed forces operational officer,Male,Pants,CAT-02,PA-4848,Pants Style,4,Hemp,90,360,GOTS,11.68,2730,90,0.58,Not Returned,,Good
ORD-005351,2023-08-26,"Sweden, Stockholm",CUST-05351,53,Animator,Female,Jacket,CAT-04,JA-7880,Jacket Style,2,Linen,220,440,OEKO-TEX,10.87,2610,92,0.54,Not Returned,,Excellent
ORD-005352,2025-01-21,"Australia, Melbourne",CUST-05352,46,Civil Service fast streamer,Female,Shirt,CAT-01,SHI-1047,Shirt Eco,3,Linen,50,150,Fair Trade,5.65,1039,98,0.28,Not Returned,,Excellent
ORD-005353,2024-09-04,"Canada, Vancouver",CUST-05353,31,Landscape architect,Male,Pants,CAT-02,PA-8080,Pants Eco,5,Bamboo,80,400,Fair Trade,6.18,923,14,0.31,Not Returned,,Good
ORD-005354,2024-11-11,"USA, Portland",CUST-05354,35,Armed forces logistics/support/administrative officer,Other,Pants,CAT-02,PA-7172,Pants Green,3,Bamboo,90,270,B Corp,8.44,798,92,0.42,Not Returned,,Good
ORD-005355,2023-08-02,"New Zealand, Wellington",CUST-05355,31,Community arts worker,Female,Bag,CAT-06,BA-3408,Bag Classic,4,Organic Cotton,100,400,Fair Trade,5.0,1973,63,0.25,Not Returned,,Excellent
ORD-005356,2025-02-20,"USA, Berkeley",CUST-05356,36,Landscape architect,Other,Pants,CAT-02,PA-6805,Pants Eco,3,Hemp,105,315,GOTS,8.63,2549,63,0.43,Not Returned,,Good
ORD-005357,2023-10-15,"USA, Burlington",CUST-05357,53,Ophthalmologist,Male,Bag,CAT-06,BA-5119,Bag Classic,3,Recycled Polyester,100,300,None,4.5,1096,64,0.23,Not Returned,,Average
ORD-005358,2024-05-30,"Germany, Freiburg",CUST-05358,49,Careers adviser,Female,Pants,CAT-02,PA-2364,Pants Classic,1,Bamboo,80,80,OEKO-TEX,6.77,2704,96,0.34,Not Returned,,Good
ORD-005359,2023-05-26,"USA, Burlington",CUST-05359,44,Dramatherapist,Female,Pants,CAT-02,PA-1316,Pants Classic,3,Linen,80,240,GOTS,5.85,1599,56,0.29,Not Returned,,Excellent
ORD-005360,2024-04-27,"USA, Burlington",CUST-05360,31,"Teacher, special educational needs",Female,Shirt,CAT-01,SHI-3467,Shirt Style,4,Recycled Polyester,45,180,Fair Trade,14.66,1727,44,0.73,Not Returned,,Excellent
ORD-005361,2024-07-12,"Norway, Bergen",CUST-05361,40,Patent examiner,Female,Bag,CAT-06,BA-9067,Bag Classic,4,Linen,120,480,OEKO-TEX,8.65,2534,81,0.43,Not Returned,,Good
ORD-005362,2024-12-18,"USA, Seattle",CUST-05362,53,Insurance broker,Female,Jacket,CAT-04,JA-7616,Jacket Classic,4,Recycled Polyester,200,800,GOTS,8.97,2343,58,0.45,Not Returned,,Good
ORD-005363,2024-04-29,"Norway, Bergen",CUST-05363,27,Information systems manager,Male,Jacket,CAT-04,JA-7587,Jacket Green,4,Bamboo,205,820,GOTS,14.88,2201,36,0.74,Not Returned,,Good
ORD-005364,2024-12-22,"USA, San Francisco",CUST-05364,36,"Psychotherapist, dance movement",Male,Shoes,CAT-05,SHO-6083,Shoes Green,1,Organic Cotton,140,140,GOTS,7.9,2763,45,0.4,Not Returned,,Good
ORD-005365,2024-06-13,"USA, Boulder",CUST-05365,48,"Education officer, community",Female,Pants,CAT-02,PA-3885,Pants Eco,2,Bamboo,95,190,GOTS,4.56,1966,13,0.23,Not Returned,,Good
ORD-005366,2024-09-10,"USA, Boulder",CUST-05366,49,"Runner, broadcasting/film/video",Female,Bag,CAT-06,BA-4059,Bag Classic,1,Organic Cotton,100,100,Fair Trade,4.11,2571,90,0.21,Not Returned,,Excellent
ORD-005367,2023-06-04,"Germany, Freiburg",CUST-05367,44,Adult nurse,Female,Pants,CAT-02,PA-5597,Pants Classic,1,Hemp,100,100,Fair Trade,7.31,1025,25,0.37,Not Returned,,Good
ORD-005368,2024-05-03,"USA, Portland",CUST-05368,47,Product/process development scientist,Male,Bag,CAT-06,BA-7553,Bag Eco,4,Organic Cotton,115,460,OEKO-TEX,2.31,1546,99,0.12,Not Returned,,Good
ORD-005369,2024-03-17,"Netherlands, Amsterdam",CUST-05369,33,Building services engineer,Female,Shoes,CAT-05,SHO-5364,Shoes Eco,4,Organic Cotton,150,600,B Corp,10.05,2184,42,0.5,Not Returned,,Excellent
ORD-005370,2023-12-05,"USA, Santa Cruz",CUST-05370,52,Seismic interpreter,Male,Pants,CAT-02,PA-2777,Pants Eco,3,Recycled Polyester,70,210,None,5.63,2575,32,0.28,Not Returned,,Good
ORD-005371,2023-09-10,"USA, San Francisco",CUST-05371,41,Commercial horticulturist,Female,Shirt,CAT-01,SHI-4274,Shirt Style,3,Bamboo,50,150,B Corp,3.96,1084,21,0.2,Not Returned,,Excellent
ORD-005372,2023-07-21,"New Zealand, Wellington",CUST-05372,20,Social worker,Female,Shoes,CAT-05,SHO-3915,Shoes Eco,2,Recycled Polyester,135,270,Fair Trade,10.13,2273,18,0.51,Not Returned,,Average
ORD-005373,2024-10-07,"USA, Berkeley",CUST-05373,50,Youth worker,Female,Jacket,CAT-04,JA-8331,Jacket Eco,2,Linen,245,490,OEKO-TEX,9.47,2058,58,0.47,Not Returned,,Good
ORD-005374,2023-09-05,"USA, Seattle",CUST-05374,48,Homeopath,Other,Pants,CAT-02,PA-5426,Pants Classic,4,Organic Cotton,75,300,OEKO-TEX,2.73,2779,26,0.14,Not Returned,,Excellent
ORD-005375,2025-02-03,"Norway, Bergen",CUST-05375,46,Arts administrator,Male,Dress,CAT-03,DR-5786,Dress Green,3,Bamboo,125,375,OEKO-TEX,10.21,1330,93,0.51,Returned,Other,Good
ORD-005376,2023-11-30,"Netherlands, Amsterdam",CUST-05376,28,Science writer,Female,Bag,CAT-06,BA-5476,Bag Style,4,Hemp,115,460,GOTS,10.24,2107,58,0.51,Not Returned,,Excellent
ORD-005377,2025-03-30,"USA, Portland",CUST-05377,31,"Engineer, broadcasting (operations)",Female,Pants,CAT-02,PA-5985,Pants Classic,4,Linen,95,380,Fair Trade,3.92,2568,23,0.2,Not Returned,,Good
